time,cmd_linear,cmd_angular,VelocityEncR,VelocityEncL
10.1035,0.0000,0.0000,0.0000,0.0000
10.1237,0.0000,0.0000,0.0000,0.0000
10.1439,0.0000,0.0000,0.0000,0.0000
10.1637,0.0000,0.0000,0.0000,0.0000
10.1837,0.0000,0.0000,0.0000,0.0000
10.2039,0.0000,0.0000,0.0000,0.0000
10.2235,0.0000,0.0000,0.0000,0.0000
10.2440,0.0000,0.0000,0.0000,0.0000
10.2639,0.0000,0.0000,0.0000,0.0000
10.2837,0.0000,0.0000,0.0000,0.0000
10.3037,0.0000,0.0000,0.0000,0.0000
10.3239,0.0000,0.0000,0.0000,0.0000
10.3438,0.0000,0.0000,0.0000,0.0000
10.3638,0.0000,0.0000,0.0000,0.0000
10.3839,0.0000,0.0000,0.0000,0.0000
10.4039,0.0000,0.0000,0.0000,0.0000
10.4238,0.0000,0.0000,0.0000,0.0000
10.4438,0.0000,0.0000,0.0000,0.0000
10.4639,0.0000,0.0000,0.0000,0.0000
10.4839,0.0000,0.0000,0.0000,0.0000
10.5032,0.0000,0.0000,0.0000,0.0000
10.5236,0.0000,0.0000,0.0000,0.0000
10.5439,0.0000,0.0000,0.0000,0.0000
10.5638,0.0000,0.0000,0.0000,0.0000
10.5840,0.0000,0.0000,0.0000,0.0000
10.6038,0.0000,0.0000,0.0000,0.0000
10.6238,0.0000,0.0000,0.0000,0.0000
10.6440,0.0000,0.0000,0.0000,0.0000
10.6640,0.0000,0.0000,0.0000,0.0000
10.6839,0.0000,0.0000,0.0000,0.0000
10.7038,0.0000,0.0000,0.0000,0.0000
10.7238,0.0000,0.0000,0.0000,0.0000
10.7440,0.0000,0.0000,0.0000,0.0000
10.7639,0.0000,0.0000,0.0000,0.0000
10.7836,0.0000,0.0000,0.0000,0.0000
10.8038,0.0000,0.0000,0.0000,0.0000
10.8239,0.0000,0.0000,0.0000,0.0000
10.8435,0.0000,0.0000,0.0000,0.0000
10.8633,0.0000,0.0000,0.0000,0.0000
10.8833,0.0000,0.0000,0.0000,0.0000
10.9033,0.0000,0.0000,0.0000,0.0000
10.9233,0.0000,0.0000,0.0000,0.0000
10.9433,0.0000,0.0000,0.0000,0.0000
10.9632,0.0000,0.0000,0.0000,0.0000
10.9832,0.0000,0.0000,0.0000,0.0000
11.0032,0.0000,0.0000,0.0000,0.0000
11.0232,0.0000,0.0000,0.0000,0.0000
11.0432,0.0000,0.0000,0.0000,0.0000
11.0632,0.0000,0.0000,0.0000,0.0000
11.0832,0.0000,0.0000,0.0000,0.0000
