time,cmd_linear,cmd_angular,VelocityEncR,VelocityEncL
8.4835,0.0000,0.0000,0.0000,0.0000
8.5041,0.0000,0.0000,0.0000,0.0000
8.5237,0.0000,0.0000,0.0000,0.0000
8.5431,0.0000,0.0000,0.0000,0.0000
8.5631,0.0000,0.0000,0.0000,0.0000
8.5830,0.0000,0.0000,0.0000,0.0000
8.6031,0.0000,0.0000,0.0000,0.0000
8.6231,0.0000,0.0000,0.0000,0.0000
8.6433,0.0000,0.0000,0.0000,0.0000
8.6629,0.0000,0.0000,0.0000,0.0000
8.6831,0.0000,0.0000,0.0000,0.0000
8.7033,0.0000,0.0000,0.0000,0.0000
8.7234,0.0000,0.0000,0.0000,0.0000
8.7431,0.0000,0.0000,0.0000,0.0000
8.7630,0.0000,0.0000,0.0000,0.0000
8.7837,0.0000,0.0000,0.0000,0.0000
8.8033,0.0000,0.0000,0.0000,0.0000
8.8230,0.0000,0.0000,0.0000,0.0000
8.8433,0.0000,0.0000,0.0000,0.0000
8.8631,0.0000,0.0000,0.0000,0.0000
8.8832,0.0000,0.0000,0.0000,0.0000
8.9038,0.0000,0.0000,0.0000,0.0000
8.9239,0.0000,0.0000,0.0000,0.0000
8.9436,0.0000,0.0000,0.0000,0.0000
8.9634,0.0000,0.0000,0.0000,0.0000
8.9834,0.0000,0.0000,0.0000,0.0000
9.0033,0.0000,0.0000,0.0000,0.0000
9.0235,0.0000,0.0000,0.0000,0.0000
9.0437,0.0000,0.0000,0.0000,0.0000
9.0630,0.0000,0.0000,0.0000,0.0000
9.0830,0.0000,0.0000,0.0000,0.0000
9.1032,0.2000,0.0000,0.0000,0.0000
9.1234,0.2000,0.0000,0.0000,0.0000
9.1434,0.2000,0.0000,0.0000,0.0000
9.1635,0.2000,0.0000,0.0000,0.0000
9.1839,0.2000,0.0000,0.0000,0.0000
9.2030,0.2000,0.0000,0.0000,0.0000
9.2233,0.2000,0.0000,0.0000,0.0000
9.2436,0.2000,0.0000,0.0000,0.0000
9.2633,0.2000,0.0000,0.0000,0.0000
9.2836,0.2000,0.0000,0.0000,0.0000
9.3037,0.2000,0.0000,0.0000,0.0000
9.3234,0.2000,0.0000,0.0000,0.0000
9.3435,0.2000,0.0000,0.0000,0.0000
